source_id,clip_id,fencer,action,start_frame,end_frame
1,1_Right.mp4,LEFT,ATTACK_LUNGE,9,13
1,1_Right.mp4,LEFT,ATTACK_STOP_CUT,44,47
1,1_Right.mp4,RIGHT,DEFENSE_DISTANCE_PULL,10,22
1,1_Right.mp4,RIGHT,ATTACK_BEAT,36,40
1,1_Right.mp4,RIGHT,ATTACK_STEP_CUT,50,53
1,2_Right.mp4,RIGHT,DEFENSE_DISTANCE_PULL,39,60
1,2_Right.mp4,RIGHT,ATTACK_STOP_CUT,67,74
1,3_Right.mp4,LEFT,ATTACK_LUNGE,23,28
1,3_Right.mp4,RIGHT,ATTACK_LUNGE,22,27
1,4_Left.mp4,LEFT,DEFENSE_DISTANCE_PULL,13,16
1,4_Left.mp4,LEFT,ATTACK_COUNTER,17,21
1,4_Left.mp4,RIGHT,ATTACK_LUNGE,11,18
1,5_Left.mp4,LEFT,ATTACK_STOP_CUT,17,20
1,5_Left.mp4,LEFT,ATTACK_STEP_CUT,48,51
1,5_Left.mp4,RIGHT,ATTACK_STEP_CUT,48,52
1,6_Right.mp4,LEFT,ATTACK_BEAT,21,25
1,6_Right.mp4,LEFT,ATTACK_REMISE,26,34
1,6_Right.mp4,RIGHT,DEFENSE_DISTANCE_PULL,24,29
1,6_Right.mp4,RIGHT,ATTACK_COUNTER,30,33
1,7_Right.mp4,LEFT,ATTACK_STOP_CUT,52,56
1,7_Right.mp4,RIGHT,ATTACK_STEP_CUT,59,63
1,8_Right.mp4,LEFT,DEFENSE_DISTANCE_PULL,20,25
1,8_Right.mp4,LEFT,DEFENSE_DISTANCE_PULL,35,47
1,8_Right.mp4,LEFT,DEFENSE_DISTANCE_PULL,52,63
1,8_Right.mp4,LEFT,ATTACK_STOP_CUT,101,107
1,8_Right.mp4,LEFT,ATTACK_STOP_CUT,117,122
1,8_Right.mp4,RIGHT,ATTACK_FEINT,30,34
1,8_Right.mp4,RIGHT,ATTACK_STEP_CUT,120,125
1,9_Left.mp4,LEFT,ATTACK_FLUNGE,33,37
1,9_Left.mp4,RIGHT,ATTACK_STEP_CUT,37,40
1,10_Left.mp4,LEFT,ATTACK_LUNGE,23,26
1,10_Left.mp4,RIGHT,ATTACK_LUNGE,21,27
1,11_Left.mp4,LEFT,ATTACK_LUNGE,60,65
1,11_Left.mp4,RIGHT,DEFENSE_DISTANCE_PULL,22,40
1,11_Left.mp4,RIGHT,ATTACK_STOP_CUT,56,61
