epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.748,0.62135,1.03305,0.00826,0.92675,0.51499,0.58236,0.31979,2.65786,1.98105,0.11837,0.000664983,0.000664983,0.000664983
2,397.269,0.61811,0.27426,0.00867,0.99902,0.99821,0.995,0.86349,0.64703,0.17853,0.01671,0.00132804,0.00132804,0.00132804
3,589.437,0.61049,0.23743,0.00807,0.97191,0.98421,0.99392,0.87053,0.56705,0.33555,0.01717,0.0019767,0.0019767,0.0019767
4,780.426,0.56966,0.21928,0.0078,0.99069,0.99176,0.99491,0.89402,0.53781,0.18258,0.01508,0.00195155,0.00195155,0.00195155
5,971.123,0.51319,0.20077,0.0062,1,0.99998,0.995,0.8949,0.51028,0.14305,0.01221,0.00191441,0.00191441,0.00191441
6,1162,0.47069,0.17383,0.00527,0.9711,0.94949,0.99128,0.88437,0.50352,0.2669,0.01332,0.00186737,0.00186737,0.00186737
7,1352.47,0.47523,0.1797,0.0056,0.99997,1,0.995,0.8847,0.54458,0.1447,0.01469,0.00181093,0.00181093,0.00181093
8,1542.77,0.43761,0.17488,0.005,0.99998,1,0.995,0.89251,0.50823,0.13935,0.01439,0.00174571,0.00174571,0.00174571
9,1732.98,0.42997,0.16184,0.00493,0.99993,1,0.995,0.83097,0.7138,0.18769,0.02081,0.00167244,0.00167244,0.00167244
10,1923.2,0.40977,0.15515,0.00446,0.99997,1,0.995,0.87925,0.55369,0.15499,0.01488,0.00159191,0.00159191,0.00159191
11,2113.58,0.39398,0.15116,0.00446,0.99997,1,0.995,0.8632,0.60469,0.1624,0.01712,0.001505,0.001505,0.001505
12,2303.95,0.37667,0.14308,0.00398,0.99991,1,0.995,0.87208,0.58643,0.16173,0.01689,0.00141267,0.00141267,0.00141267
13,2494.12,0.36553,0.14148,0.00382,1,0.99989,0.995,0.89624,0.48666,0.13979,0.01252,0.00131593,0.00131593,0.00131593
14,2684.64,0.36479,0.13109,0.00383,1,0.99997,0.995,0.87901,0.54046,0.1476,0.01497,0.00121583,0.00121583,0.00121583
15,2874.84,0.3263,0.12437,0.00333,1,0.99215,0.995,0.88716,0.54252,0.15552,0.01608,0.00111348,0.00111348,0.00111348
16,3065.01,0.31763,0.12296,0.00315,0.99657,0.99708,0.995,0.83993,0.70941,0.19547,0.01955,0.00101,0.00101,0.00101
17,3255.09,0.31816,0.11982,0.00325,0.99907,0.99706,0.995,0.88683,0.54692,0.1622,0.0155,0.000906517,0.000906517,0.000906517
18,3445.21,0.29333,0.11192,0.00286,0.9994,1,0.995,0.88305,0.54395,0.15574,0.01497,0.000804167,0.000804167,0.000804167
19,3635.31,0.28305,0.10888,0.00267,1,0.9987,0.995,0.8867,0.54332,0.15686,0.01615,0.000704073,0.000704073,0.000704073
20,3825.43,0.26816,0.10207,0.00248,0.99366,0.99985,0.995,0.86914,0.59445,0.17314,0.01776,0.000607331,0.000607331,0.000607331
21,4017.27,0.2769,0.09409,0.00437,1,0.99999,0.995,0.87071,0.58737,0.16285,0.01774,0.000515,0.000515,0.000515
22,4208.17,0.25337,0.08309,0.00397,1,0.99946,0.995,0.88634,0.54068,0.15839,0.01582,0.000428093,0.000428093,0.000428093
23,4398.86,0.22159,0.07462,0.00282,0.99989,1,0.995,0.88753,0.559,0.16432,0.01631,0.000347561,0.000347561,0.000347561
24,4589.55,0.19934,0.06809,0.00247,0.99979,1,0.995,0.88362,0.5544,0.1646,0.0162,0.000274287,0.000274287,0.000274287
25,4780.05,0.20122,0.07089,0.00243,0.99988,1,0.995,0.8862,0.53872,0.16348,0.01516,0.000209073,0.000209073,0.000209073
26,4970.8,0.17534,0.06148,0.00203,0.99977,1,0.995,0.89858,0.52715,0.161,0.01493,0.000152635,0.000152635,0.000152635
27,5161.74,0.17303,0.06367,0.00189,0.99971,0.99902,0.995,0.89065,0.53743,0.16349,0.01541,0.00010559,0.00010559,0.00010559
28,5352.3,0.15816,0.0579,0.00171,0.99988,1,0.995,0.89149,0.53537,0.16561,0.01511,6.8454e-05,6.8454e-05,6.8454e-05
29,5542.85,0.14867,0.05479,0.00157,0.99997,1,0.995,0.89106,0.53749,0.16591,0.01532,4.16339e-05,4.16339e-05,4.16339e-05
30,5733.43,0.14443,0.05262,0.0015,0.99996,1,0.995,0.89111,0.54467,0.1666,0.01552,2.54233e-05,2.54233e-05,2.54233e-05
