fencer,action_id,start_frame,end_frame,expected,actual,coverage
LEFT,155,18,26,9,9,100.0
RIGHT,156,19,29,11,11,100.0
LEFT,200,30,33,4,4,100.0
LEFT,201,45,49,5,5,100.0
RIGHT,202,46,49,4,4,100.0
LEFT,178,26,33,8,8,100.0
RIGHT,179,24,31,8,8,100.0
LEFT,143,25,29,5,5,100.0
RIGHT,144,22,30,9,9,100.0
LEFT,176,20,23,4,4,100.0
RIGHT,177,19,25,7,7,100.0
LEFT,173,23,28,6,6,100.0
RIGHT,174,23,30,8,8,100.0
LEFT,193,40,44,5,5,100.0
LEFT,194,51,56,6,6,100.0
LEFT,195,63,69,7,7,100.0
LEFT,196,241,247,7,7,100.0
LEFT,197,263,272,10,10,100.0
RIGHT,198,60,65,6,6,100.0
RIGHT,199,245,258,14,14,100.0
LEFT,211,69,72,4,4,100.0
LEFT,212,95,114,20,20,100.0
LEFT,213,134,139,6,6,100.0
RIGHT,214,70,83,14,14,100.0
RIGHT,215,97,103,7,7,100.0
RIGHT,216,130,134,5,5,100.0
RIGHT,217,135,139,5,5,100.0
LEFT,157,43,49,7,7,100.0
RIGHT,158,43,49,7,7,100.0
LEFT,170,22,29,8,7,87.5
LEFT,171,40,44,5,5,100.0
RIGHT,172,37,42,6,6,100.0
RIGHT,175,34,50,17,17,100.0
LEFT,203,24,31,8,8,100.0
LEFT,204,43,46,4,4,100.0
LEFT,205,47,51,5,5,100.0
RIGHT,206,43,51,9,9,100.0
LEFT,189,38,44,7,7,100.0
LEFT,190,45,52,8,8,100.0
RIGHT,191,32,35,4,4,100.0
RIGHT,192,41,45,5,5,100.0
LEFT,209,22,29,8,7,87.5
RIGHT,210,26,30,5,5,100.0
LEFT,218,22,27,6,6,100.0
RIGHT,219,24,30,7,5,71.42857142857143
LEFT,187,17,22,6,6,100.0
RIGHT,188,18,22,5,5,100.0
LEFT,162,33,37,5,5,100.0
LEFT,163,58,61,4,4,100.0
LEFT,164,62,75,14,14,100.0
LEFT,165,164,174,11,11,100.0
RIGHT,166,60,66,7,7,100.0
RIGHT,167,95,99,5,5,100.0
RIGHT,168,110,160,51,51,100.0
RIGHT,169,167,174,8,8,100.0
LEFT,139,40,44,5,5,100.0
RIGHT,140,39,44,6,6,100.0
LEFT,220,106,109,4,4,100.0
LEFT,221,117,120,4,4,100.0
LEFT,222,132,138,7,7,100.0
LEFT,223,194,199,6,6,100.0
RIGHT,224,68,133,66,66,100.0
RIGHT,225,142,156,15,15,100.0
RIGHT,226,174,178,5,5,100.0
LEFT,141,29,33,5,5,100.0
RIGHT,142,30,37,8,6,75.0
LEFT,207,31,35,5,5,100.0
RIGHT,208,29,36,8,6,75.0
LEFT,180,22,28,7,5,71.42857142857143
LEFT,181,43,47,5,5,100.0
LEFT,182,53,56,4,4,100.0
RIGHT,183,25,36,12,12,100.0
RIGHT,184,52,57,6,6,100.0
LEFT,185,30,36,7,7,100.0
RIGHT,186,34,38,5,5,100.0
LEFT,148,25,32,8,7,87.5
LEFT,149,46,65,20,19,95.0
LEFT,150,94,103,10,10,100.0
LEFT,151,119,123,5,5,100.0
RIGHT,152,45,53,9,9,100.0
RIGHT,153,71,111,41,41,100.0
RIGHT,154,120,127,8,8,100.0
LEFT,145,18,28,11,10,90.9090909090909
RIGHT,146,21,27,7,7,100.0
RIGHT,147,28,33,6,6,100.0
LEFT,159,40,46,7,7,100.0
LEFT,160,23,31,9,9,100.0
RIGHT,161,28,34,7,7,100.0
LEFT,421,22,29,8,7,87.5
RIGHT,422,27,31,5,5,100.0
LEFT,439,30,34,5,5,100.0
RIGHT,440,29,35,7,7,100.0
LEFT,448,21,50,30,30,100.0
LEFT,449,120,125,6,6,100.0
RIGHT,450,27,33,7,7,100.0
RIGHT,451,61,65,5,5,100.0
RIGHT,452,111,114,4,4,100.0
LEFT,387,24,40,17,17,100.0
LEFT,388,47,51,5,5,100.0
LEFT,389,100,103,4,4,100.0
LEFT,390,163,172,10,10,100.0
RIGHT,391,19,25,7,7,100.0
RIGHT,392,55,65,11,11,100.0
RIGHT,393,66,73,8,8,100.0
RIGHT,394,90,105,16,16,100.0
RIGHT,395,131,135,5,5,100.0
RIGHT,396,150,153,4,4,100.0
RIGHT,397,159,162,4,4,100.0
RIGHT,398,163,172,10,10,100.0
RIGHT,399,173,183,11,11,100.0
LEFT,402,24,30,7,7,100.0
RIGHT,403,21,29,9,9,100.0
LEFT,423,60,65,6,6,100.0
LEFT,424,143,150,8,8,100.0
LEFT,425,165,171,7,7,100.0
RIGHT,426,32,39,8,8,100.0
RIGHT,427,60,66,7,7,100.0
RIGHT,428,76,152,77,77,100.0
RIGHT,429,165,171,7,7,100.0
LEFT,463,18,25,8,6,75.0
LEFT,464,44,78,35,35,100.0
LEFT,465,91,130,40,40,100.0
RIGHT,466,21,38,18,18,100.0
RIGHT,467,68,73,6,6,100.0
RIGHT,468,121,128,8,8,100.0
LEFT,453,18,22,5,5,100.0
RIGHT,454,16,21,6,6,100.0
LEFT,400,18,25,8,8,100.0
RIGHT,401,20,25,6,6,100.0
LEFT,458,5,10,6,6,100.0
LEFT,459,29,34,6,6,100.0
LEFT,460,35,39,5,5,100.0
RIGHT,461,8,26,19,17,89.47368421052632
RIGHT,462,29,34,6,6,100.0
LEFT,435,21,26,6,6,100.0
RIGHT,436,22,28,7,7,100.0
LEFT,469,19,25,7,7,100.0
RIGHT,470,16,24,9,9,100.0
LEFT,441,65,69,5,5,100.0
LEFT,442,101,110,10,7,70.0
RIGHT,443,27,34,8,8,100.0
RIGHT,444,41,46,6,6,100.0
RIGHT,445,61,71,11,11,100.0
RIGHT,446,96,107,12,12,100.0
RIGHT,447,108,111,4,4,100.0
LEFT,433,20,24,5,5,100.0
RIGHT,434,17,22,6,6,100.0
LEFT,420,25,31,7,7,100.0
LEFT,471,22,25,4,4,100.0
LEFT,472,26,31,6,6,100.0
RIGHT,473,20,27,8,7,87.5
RIGHT,474,38,44,7,7,100.0
LEFT,430,25,29,5,5,100.0
RIGHT,431,26,31,6,6,100.0
RIGHT,432,32,35,4,4,100.0
LEFT,404,23,29,7,7,100.0
LEFT,405,43,48,6,6,100.0
LEFT,406,61,100,40,40,100.0
LEFT,407,105,115,11,11,100.0
RIGHT,408,85,89,5,5,100.0
RIGHT,409,113,119,7,7,100.0
LEFT,417,18,24,7,6,85.71428571428571
RIGHT,418,20,24,5,5,100.0
RIGHT,419,25,29,5,5,100.0
LEFT,437,31,35,5,5,100.0
RIGHT,438,25,32,8,8,100.0
LEFT,414,24,29,6,6,100.0
LEFT,410,14,41,28,28,100.0
RIGHT,411,25,32,8,8,100.0
LEFT,415,19,24,6,6,100.0
RIGHT,416,19,24,6,6,100.0
LEFT,412,30,35,6,6,100.0
RIGHT,413,44,47,4,4,100.0
LEFT,455,32,37,6,6,100.0
RIGHT,456,31,37,7,7,100.0
RIGHT,457,38,42,5,5,100.0
LEFT,61,52,56,5,4,80.0
RIGHT,62,59,63,5,2,40.0
LEFT,5,31,36,6,6,100.0
RIGHT,6,32,37,6,6,100.0
LEFT,43,26,29,4,4,100.0
RIGHT,44,20,27,8,7,87.5
RIGHT,47,39,60,22,17,77.27272727272727
RIGHT,48,67,74,8,8,100.0
LEFT,32,16,21,6,6,100.0
LEFT,33,29,33,5,5,100.0
RIGHT,34,23,28,6,6,100.0
LEFT,19,49,54,6,6,100.0
LEFT,20,55,59,5,5,100.0
LEFT,27,9,13,5,4,80.0
LEFT,28,44,47,4,4,100.0
RIGHT,29,10,22,13,13,100.0
RIGHT,30,36,40,5,5,100.0
RIGHT,31,50,53,4,3,75.0
LEFT,9,32,36,5,4,80.0
RIGHT,10,32,36,5,5,100.0
RIGHT,11,37,40,4,4,100.0
LEFT,2,60,65,6,6,100.0
RIGHT,3,22,40,19,16,84.21052631578947
RIGHT,4,56,61,6,6,100.0
LEFT,57,21,25,5,5,100.0
LEFT,58,26,34,9,8,88.88888888888889
RIGHT,59,24,29,6,6,100.0
RIGHT,60,30,33,4,4,100.0
LEFT,51,13,16,4,4,100.0
LEFT,52,17,21,5,5,100.0
RIGHT,53,11,18,8,8,100.0
LEFT,49,23,28,6,4,66.66666666666666
RIGHT,50,22,27,6,6,100.0
LEFT,63,20,25,6,6,100.0
LEFT,64,35,47,13,12,92.3076923076923
LEFT,65,52,63,12,12,100.0
LEFT,66,101,107,7,7,100.0
LEFT,67,117,122,6,6,100.0
RIGHT,68,30,34,5,3,60.0
RIGHT,69,120,125,6,6,100.0
LEFT,41,20,26,7,7,100.0
RIGHT,42,28,31,4,4,100.0
LEFT,25,18,24,7,5,71.42857142857143
RIGHT,26,26,29,4,4,100.0
LEFT,0,23,26,4,4,100.0
RIGHT,1,21,27,7,7,100.0
LEFT,70,33,37,5,5,100.0
RIGHT,71,37,40,4,4,100.0
LEFT,35,21,26,6,6,100.0
LEFT,36,34,40,7,7,100.0
LEFT,37,58,100,43,43,100.0
LEFT,38,101,109,9,9,100.0
